Date,Open,High,Low,Close,Adj Close,Volume
2010-12-10,8.217143,8.297143,8.174286,8.297143,5.812480,14000
2010-12-13,8.245714,8.617143,8.214286,8.508572,5.960595,73100
2010-12-14,8.342857,9.042857,8.328571,9.000000,6.304860,94100
2010-12-15,9.000000,9.428572,8.960000,9.371428,6.565060,42700
2010-12-16,9.411428,9.857142,9.411428,9.762857,6.839272,60500
2010-12-17,9.754286,9.828571,9.685715,9.725715,6.813253,29400
2010-12-20,9.825714,9.828571,9.574286,9.782857,6.853283,79100
2010-12-21,9.817142,10.048572,9.817142,10.025714,7.023413,92700
2010-12-22,9.937143,10.077143,9.905714,10.020000,7.019412,15400
2010-12-23,9.822857,9.897142,9.691428,9.691428,6.789232,12600
2010-12-27,10.025714,10.094286,9.785714,9.857142,6.905323,57700
2010-12-28,9.942857,9.962857,9.668571,9.771428,6.845276,29400
2010-12-29,9.771428,10.054286,9.760000,9.971429,6.985385,19600
2010-12-30,10.017143,10.017143,9.811429,9.811429,6.873299,11900
2010-12-31,9.802857,9.802857,9.714286,9.785714,6.855283,6300
2011-01-03,9.777143,9.785714,9.562857,9.694285,6.791234,37800
2011-01-04,9.734285,9.734285,9.231428,9.231428,6.466984,30800
2011-01-05,9.357142,9.645715,9.028571,9.411428,6.593082,68600
2011-01-06,9.354285,9.357142,9.271428,9.305715,6.519023,4500
2011-01-07,9.048572,9.114285,8.517143,8.791429,6.158749,47200
2011-01-10,8.677143,8.797143,8.677143,8.797143,6.162750,8700
2011-01-11,8.797143,9.120000,8.785714,8.985714,6.294852,62300
2011-01-12,9.057143,9.057143,9.045714,9.045714,6.336884,1700
2011-01-13,8.942857,9.171429,8.891429,8.988571,6.296854,32200
2011-01-14,8.885715,9.254286,8.885715,9.228572,6.464984,7300
2011-01-18,9.362857,9.534286,9.117143,9.277143,6.499009,42300
2011-01-19,9.231428,9.445714,9.045714,9.357142,6.555053,59100
2011-01-20,9.511429,9.511429,9.271428,9.271428,6.495006,6300
2011-01-21,9.397142,9.645715,9.028571,9.157143,6.414946,107100
2011-01-24,9.080000,9.242857,9.002857,9.200000,6.444969,6600
2011-01-25,8.917143,9.051429,8.885715,9.051429,6.340888,3800
2011-01-26,9.114285,9.114285,8.902857,8.982857,6.292851,17100
2011-01-27,9.002857,9.040000,8.997143,9.005714,6.308862,5200
2011-01-28,9.040000,9.040000,8.705714,8.705714,6.098701,8000
2011-01-31,8.500000,8.660000,8.500000,8.600000,6.024645,6300
2011-02-01,8.654285,8.914286,8.631429,8.880000,6.220795,4500
2011-02-02,8.860000,8.874286,8.808572,8.874286,6.216791,3500
2011-02-03,8.411428,8.794286,8.411428,8.757143,6.134729,4900
2011-02-04,8.785714,8.785714,8.654285,8.717143,6.106707,4500
2011-02-07,8.677143,8.782857,8.657143,8.774285,6.146738,21000
2011-02-08,8.700000,8.754286,8.657143,8.657143,6.064674,3100
2011-02-09,8.802857,8.888572,8.791429,8.791429,6.158749,4900
2011-02-10,8.791429,8.925714,8.791429,8.805715,6.168755,7300
2011-02-11,8.860000,8.860000,8.697143,8.822857,6.180764,8400
2011-02-14,8.777143,8.820000,8.668571,8.785714,6.154743,7000
2011-02-15,8.814285,8.885715,8.794286,8.885715,6.224799,5600
2011-02-16,8.788571,9.085714,8.657143,9.085714,6.364906,80500
2011-02-17,9.091429,9.180000,8.740000,9.180000,6.430956,19900
2011-02-18,9.148571,9.488571,9.148571,9.428572,6.605091,18200
2011-02-22,9.402857,9.617143,9.242857,9.442857,6.615100,42000
2011-02-23,9.431429,9.431429,9.114285,9.114285,6.384922,4200
2011-02-24,9.125714,9.171429,9.080000,9.171429,6.424952,7300
2011-02-25,9.074286,9.374286,8.997143,9.374286,6.567061,6300
2011-02-28,9.437143,9.437143,9.162857,9.345715,6.547046,41300
2011-03-01,9.322857,9.322857,9.157143,9.197143,6.442966,2800
2011-03-02,9.125714,9.125714,8.882857,8.960000,6.430662,6600
2011-03-03,8.862857,9.082857,8.862857,9.068571,6.508585,9100
2011-03-04,9.480000,9.500000,9.202857,9.202857,6.604963,6600
2011-03-07,9.197143,9.562857,9.114285,9.291429,6.668531,16100
2011-03-08,9.382857,9.451428,9.205714,9.425714,6.764909,11500
2011-03-09,9.422857,9.422857,9.285714,9.357142,6.715695,10500
2011-03-10,9.291429,9.657143,8.842857,9.308572,6.680835,78000
2011-03-11,9.268572,9.705714,8.945714,9.028571,6.479876,80100
2011-03-14,8.834286,9.165714,8.797143,8.948571,6.422461,39500
2011-03-15,8.808572,9.082857,8.808572,9.011429,6.467574,32200
2011-03-16,8.985714,9.162857,8.288571,8.425714,6.047200,49000
2011-03-17,8.525714,8.671429,8.348572,8.402857,6.030797,57700
2011-03-18,8.445714,9.285714,8.400000,8.768572,6.293272,74500
2011-03-21,8.797143,9.114285,8.494286,9.100000,6.531142,35000
2011-03-22,9.108571,9.394286,9.105714,9.214286,6.613166,17500
2011-03-23,9.165714,9.211429,9.100000,9.194285,6.598812,11900
2011-03-24,9.134286,9.168571,9.108571,9.168571,6.580356,3800
2011-03-25,9.140000,9.182858,9.102858,9.182858,6.590609,2100
2011-03-28,9.257143,9.288571,9.171429,9.280000,6.660328,11900
2011-03-29,9.202857,9.442857,9.202857,9.442857,6.777211,55600
2011-03-30,9.451428,9.577143,9.451428,9.577143,6.873590,6300
2011-03-31,9.582857,9.785714,9.582857,9.697143,6.959714,8700
2011-04-01,9.682858,9.728572,9.660000,9.660000,6.933058,8400
2011-04-04,9.777143,9.828571,9.611428,9.742857,6.992524,48300
2011-04-05,9.871428,9.900000,9.822857,9.900000,7.105308,6600
2011-04-06,9.925714,9.942857,9.857142,9.931429,7.127865,8400
2011-04-07,9.820000,10.000000,9.817142,9.994286,7.172977,27300
2011-04-08,10.014286,10.014286,9.928572,9.928572,7.125814,5900
2011-04-11,9.940000,9.957143,9.911428,9.917143,7.117611,3100
2011-04-12,9.902857,9.902857,9.708571,9.808572,7.039690,11900
2011-04-13,9.834286,9.868571,9.814285,9.851429,7.070447,11900
2011-04-14,9.822857,9.822857,9.822857,9.822857,7.049942,700
2011-04-15,9.828571,9.925714,9.828571,9.925714,7.123764,7000
2011-04-18,9.774285,9.925714,9.774285,9.891429,7.099156,11500
2011-04-19,9.991428,9.991428,9.905714,9.951428,7.142218,1700
2011-04-20,10.000000,10.134286,10.000000,10.134286,7.273457,9800
2011-04-21,10.177143,10.228572,9.840000,9.945714,7.138116,27600
2011-04-25,9.817142,10.077143,9.794286,9.920000,7.119663,35000
2011-04-26,9.825714,9.954286,9.825714,9.931429,7.127865,11200
2011-04-27,10.202857,10.202857,10.028571,10.105714,7.252950,3800
2011-04-28,10.105714,10.174286,10.000000,10.171429,7.300113,7700
2011-04-29,10.088572,10.174286,10.048572,10.174286,7.302165,4200
2011-05-02,10.191428,10.191428,10.077143,10.077143,7.232444,3500
2011-05-03,10.180000,10.200000,10.082857,10.082857,7.236546,3800
2011-05-04,10.222857,10.222857,10.051429,10.051429,7.213989,12200
2011-05-05,10.042857,10.077143,9.971429,9.971429,7.156573,3100
2011-05-06,9.917143,9.965714,9.871428,9.871428,7.084801,3100
2011-05-09,9.825714,9.997143,9.728572,9.900000,7.105308,25900
2011-05-10,9.800000,10.000000,9.800000,9.957143,7.146320,28700
2011-05-11,10.002857,10.034286,9.942857,9.977143,7.160674,105700
2011-05-12,9.977143,9.977143,9.977143,9.977143,7.160674,0
2011-05-13,9.974286,9.974286,9.862857,9.911428,7.113510,4500
2011-05-16,9.737143,9.782857,9.717143,9.745714,6.994577,32500
2011-05-17,9.771428,9.771428,9.608571,9.685715,6.951514,4200
2011-05-18,9.745714,9.780000,9.657143,9.780000,7.019183,4900
2011-05-19,9.825714,9.825714,9.728572,9.728572,6.982273,4500
2011-05-20,9.708571,9.900000,9.708571,9.720000,6.976121,11200
2011-05-23,9.745714,9.745714,9.714286,9.714286,6.972018,3500
2011-05-24,9.717143,9.748571,9.634286,9.702857,6.963816,18200
2011-05-25,9.657143,10.060000,9.657143,9.880000,7.090954,3800
2011-05-26,9.734285,9.880000,9.734285,9.828571,7.054045,4900
2011-05-27,9.874286,10.071428,9.834286,10.071428,7.228343,7300
2011-05-31,10.071428,10.165714,9.745714,10.165714,7.296012,41300
2011-06-01,10.168571,10.168571,9.920000,9.920000,7.277150,9800
2011-06-02,9.974286,9.974286,9.945714,9.965714,7.310685,3100
2011-06-03,9.905714,9.928572,9.905714,9.928572,7.283438,5600
2011-06-06,10.028571,10.028571,9.954286,9.954286,7.302301,6300
2011-06-07,9.974286,10.034286,9.974286,10.034286,7.360988,4900
2011-06-08,10.034286,10.040000,9.968572,9.968572,7.312782,12600
2011-06-09,10.025714,10.025714,9.928572,10.000000,7.335837,3500
2011-06-10,9.951428,9.977143,9.782857,9.782857,7.176543,3100
2011-06-13,9.894286,9.962857,9.782857,9.840000,7.218463,49300
2011-06-14,9.905714,9.942857,9.888572,9.942857,7.293917,24500
2011-06-15,9.997143,10.000000,9.871428,9.880000,7.247805,16400
2011-06-16,9.885715,10.000000,9.885715,10.000000,7.335837,5600
2011-06-17,10.031428,10.094286,9.971429,10.065714,7.384043,26200
2011-06-20,10.002857,10.128572,10.000000,10.111428,7.417579,35300
2011-06-21,10.128572,10.200000,10.128572,10.200000,7.482553,6300
2011-06-22,10.185715,10.200000,10.137143,10.142858,7.440634,16400
2011-06-23,10.134286,10.200000,10.048572,10.108571,7.415481,9400
2011-06-24,10.171429,10.428572,10.048572,10.428572,7.650228,137900
2011-06-27,10.382857,10.540000,9.900000,10.260000,7.526568,64400
2011-06-28,10.294286,10.497143,10.180000,10.440000,7.658613,39200
2011-06-29,10.377143,10.477143,10.360000,10.382857,7.616694,68900
2011-06-30,10.380000,10.440000,10.380000,10.437143,7.656518,4500
2011-07-01,10.414286,10.460000,10.228572,10.434286,7.654421,8000
2011-07-05,10.471429,10.471429,10.291429,10.457143,7.671189,14300
2011-07-06,10.471429,10.517143,10.442857,10.517143,7.715205,11500
2011-07-07,10.517143,10.531428,10.514286,10.514286,7.713109,14000
2011-07-08,10.488571,10.511429,10.402857,10.402857,7.631365,3100
2011-07-11,10.322857,10.500000,10.322857,10.365714,7.604118,38500
2011-07-12,10.391429,10.494286,10.357142,10.394286,7.625077,18200
2011-07-13,10.391429,10.485714,10.320000,10.485714,7.692146,93400
2011-07-14,10.471429,10.471429,10.411428,10.411428,7.637652,4500
2011-07-15,10.482857,10.485714,10.471429,10.485714,7.692146,12200
2011-07-18,10.462857,10.485714,10.300000,10.300000,7.555912,5600
2011-07-19,10.314285,10.431429,10.174286,10.288571,7.547528,35000
2011-07-20,10.065714,10.251429,10.065714,10.151428,7.446922,10500
2011-07-21,10.145715,10.214286,9.800000,10.214286,7.493032,6600
2011-07-22,9.945714,10.477143,9.945714,10.425714,7.648135,9100
2011-07-25,10.288571,10.457143,10.248571,10.248571,7.518184,4900
2011-07-26,9.937143,10.205714,9.937143,10.091429,7.402908,2100
2011-07-27,10.174286,10.174286,9.848572,10.094286,7.405003,36700
2011-07-28,10.145715,10.505714,10.145715,10.457143,7.671189,14700
